ObservationIdentifier,DateOfObservation,SamplingProtocol,LengtSpecimen_Cm,WeightSpecimen_Gram,LengthOfTime_Min,LengthOfLocation_Meter,Oxygen_MgPerL,Oxygen_PercentSaturation,Conductivity_MicroSPerCm,Temperature_Celsius,Location,XCoordinaat,YCoordinaat,ID,Waterbody,CoordinateUncertainty,ESRI_OID,Shape
VIS_311,1994-08-17T00:00:00,targeted monitoring,0.00000000,0.00000000,0,0,0,0,0,0,Mostbeek - poel voor overkapping onder R4,111683.10000000,192933.70000000,311,,15,1,POINT (111683.10000000 192933.70000000)
VIS_312,1994-08-17T00:00:00,targeted monitoring,0.00000000,0.00000000,0,0,0,0,0,0,Mostbeek - poel voor overkapping onder R4,111683.10000000,192933.70000000,312,,15,2,POINT (111683.10000000 192933.70000000)
VIS_313,1994-08-17T00:00:00,targeted monitoring,0.00000000,0.00000000,0,0,0,0,0,0,Mostbeek - poel voor overkapping onder R4,111683.10000000,192933.70000000,313,,15,3,POINT (111683.10000000 192933.70000000)
VIS_314,1994-08-17T00:00:00,targeted monitoring,0.00000000,0.00000000,0,0,0,0,0,0,Mostbeek - poel voor overkapping onder R4,111683.10000000,192933.70000000,314,,15,4,POINT (111683.10000000 192933.70000000)
VIS_315,1994-08-17T00:00:00,targeted monitoring,0.00000000,0.00000000,0,0,0,0,0,0,Mostbeek - poel voor overkapping onder R4,111683.10000000,192933.70000000,315,,15,5,POINT (111683.10000000 192933.70000000)
VIS_322,1994-08-17T00:00:00,targeted monitoring,0.00000000,0.00000000,0,0,0,0,0,0,Mostbeek - poel na overkapping onder R4 (bos),112072.80000000,193026.10000000,322,,15,6,POINT (112072.80000000 193026.10000000)
VIS_323,1994-08-17T00:00:00,targeted monitoring,0.00000000,0.00000000,0,0,0,0,0,0,Mostbeek - poel na overkapping onder R4 (bos),112072.80000000,193026.10000000,323,,15,7,POINT (112072.80000000 193026.10000000)
VIS_324,1994-08-17T00:00:00,targeted monitoring,0.00000000,0.00000000,0,0,0,0,0,0,Mostbeek - poel na overkapping onder R4 (bos),112072.80000000,193026.10000000,324,,15,8,POINT (112072.80000000 193026.10000000)
VIS_325,1994-08-17T00:00:00,targeted monitoring,0.00000000,0.00000000,0,0,0,0,0,0,Mostbeek - poel na overkapping onder R4 (bos),112072.80000000,193026.10000000,325,,15,9,POINT (112072.80000000 193026.10000000)
VIS_326,1994-08-17T00:00:00,targeted monitoring,0.00000000,0.00000000,0,0,0,0,0,0,Mostbeek - poel na overkapping onder R4 (bos),112072.80000000,193026.10000000,326,,15,10,POINT (112072.80000000 193026.10000000)
VIS_327,1994-08-17T00:00:00,targeted monitoring,0.00000000,0.00000000,0,0,0,0,0,0,Mostbeek - poel na overkapping onder R4 (bos),112072.80000000,193026.10000000,327,,15,11,POINT (112072.80000000 193026.10000000)
VIS_328,1994-08-17T00:00:00,targeted monitoring,0.00000000,0.00000000,0,0,0,0,0,0,Mostbeek - poel na overkapping onder R4 (bos),112072.80000000,193026.10000000,328,,15,12,POINT (112072.80000000 193026.10000000)
VIS_329,1994-08-17T00:00:00,targeted monitoring,0.00000000,0.00000000,0,0,0,0,0,0,Mostbeek - poel na overkapping onder R4 (bos),112072.80000000,193026.10000000,329,,15,13,POINT (112072.80000000 193026.10000000)
VIS_394,2013-06-26T00:00:00,targeted monitoring,0.00000000,3.50000000,0,0,2.20000000,0,425.00000000,0,"De sloot - Bij meerkens, oude Schelde",116719.90000000,190273.40000000,394,,15,14,POINT (116719.90000000 190273.40000000)
VIS_396,2013-06-26T00:00:00,targeted monitoring,0.00000000,136.50000000,0,0,2.20000000,0,425.00000000,0,"De sloot - Bij meerkens, oude Schelde",116719.90000000,190273.40000000,396,,15,15,POINT (116719.90000000 190273.40000000)
VIS_397,2013-06-26T00:00:00,targeted monitoring,0.00000000,5362.00000000,0,0,2.20000000,0,425.00000000,0,"De sloot - Bij meerkens, oude Schelde",116719.90000000,190273.40000000,397,,15,16,POINT (116719.90000000 190273.40000000)
VIS_398,2013-06-26T00:00:00,targeted monitoring,0.00000000,82.68000000,0,0,2.40000000,0,536.00000000,0,De sloot - stroomopwaarts de stooktestraat,115055.70000000,189249.10000000,398,,15,17,POINT (115055.70000000 189249.10000000)
VIS_399,2013-06-26T00:00:00,targeted monitoring,0.00000000,4.50000000,0,0,2.40000000,0,536.00000000,0,De sloot - stroomopwaarts de stooktestraat,115055.70000000,189249.10000000,399,,15,18,POINT (115055.70000000 189249.10000000)
VIS_400,2013-06-26T00:00:00,targeted monitoring,0.00000000,18.50000000,0,0,2.40000000,0,536.00000000,0,De sloot - stroomopwaarts de stooktestraat,115055.70000000,189249.10000000,400,,15,19,POINT (115055.70000000 189249.10000000)
VIS_401,2013-06-26T00:00:00,targeted monitoring,0.00000000,672.51000000,0,0,2.40000000,0,536.00000000,0,De sloot - stroomopwaarts de stooktestraat,115055.70000000,189249.10000000,401,,15,20,POINT (115055.70000000 189249.10000000)
VIS_402,2013-06-26T00:00:00,targeted monitoring,0.00000000,0.50000000,0,0,3.20000000,0,714.00000000,0,"Maanbeek - aan de Kolk, stroomopwaars de Lepelstraat",113889.80000000,191793.40000000,402,,15,21,POINT (113889.80000000 191793.40000000)
VIS_404,2013-06-26T00:00:00,targeted monitoring,0.00000000,598.40000000,0,0,3.20000000,0,714.00000000,0,"Maanbeek - aan de Kolk, stroomopwaars de Lepelstraat",113889.80000000,191793.40000000,404,,15,22,POINT (113889.80000000 191793.40000000)
VIS_405,2013-06-26T00:00:00,targeted monitoring,0.00000000,199.50000000,0,0,3.20000000,0,714.00000000,0,"Maanbeek - aan de Kolk, stroomopwaars de Lepelstraat",113889.80000000,191793.40000000,405,,15,23,POINT (113889.80000000 191793.40000000)
VIS_406,2013-06-26T00:00:00,targeted monitoring,0.00000000,69.99000000,0,0,3.20000000,0,714.00000000,0,"Maanbeek - aan de Kolk, stroomopwaars de Lepelstraat",113889.80000000,191793.40000000,406,,15,24,POINT (113889.80000000 191793.40000000)
VIS_407,2013-06-26T00:00:00,targeted monitoring,0.00000000,1207.04000000,0,0,3.20000000,0,714.00000000,0,"Maanbeek - aan de Kolk, stroomopwaars de Lepelstraat",113889.80000000,191793.40000000,407,,15,25,POINT (113889.80000000 191793.40000000)
VIS_408,2013-06-26T00:00:00,targeted monitoring,0.00000000,15.47000000,0,0,8.80000000,0,636.00000000,0,"Laresloot - thv Prullebos, in de duiker en stroomopwaarts",112975.50000000,190277.40000000,408,,15,26,POINT (112975.50000000 190277.40000000)
VIS_409,2013-06-26T00:00:00,targeted monitoring,0.00000000,1.50000000,0,0,8.80000000,0,636.00000000,0,"Laresloot - thv Prullebos, in de duiker en stroomopwaarts",112975.50000000,190277.40000000,409,,15,27,POINT (112975.50000000 190277.40000000)
VIS_410,2013-06-26T00:00:00,targeted monitoring,0.00000000,0.00000000,0,0,2.20000000,0,707.00000000,0,"De sloot - thv Prullebos, in de duiker en stroomopwaarts",113207.70000000,189483.80000000,410,,15,28,POINT (113207.70000000 189483.80000000)
VIS_411,2013-06-26T00:00:00,targeted monitoring,0.00000000,0.00000000,0,0,2.20000000,0,707.00000000,0,"De sloot - thv Prullebos, in de duiker en stroomopwaarts",113207.70000000,189483.80000000,411,,15,29,POINT (113207.70000000 189483.80000000)
VIS_413,2013-06-26T00:00:00,targeted monitoring,0.00000000,45.00000000,0,0,6.60000000,0,716.00000000,0,Mostbeek - in het natuurpuntreservaat,112082.20000000,193031.30000000,413,,15,30,POINT (112082.20000000 193031.30000000)
VIS_418,2006-04-10T00:00:00,targeted monitoring,0.00000000,100.00000000,0,100.00000000,10.90000000,0,655.00000000,8.50000000,Molenbeek - Schorisse,101309.81530000,165602.96620000,418,,15,31,POINT (101309.81530000 165602.96620000)
VIS_419,2006-04-10T00:00:00,targeted monitoring,0.00000000,224.40000000,0,100.00000000,10.90000000,0,655.00000000,8.50000000,Molenbeek - Schorisse,101309.81530000,165602.96620000,419,,15,32,POINT (101309.81530000 165602.96620000)
VIS_421,2006-04-10T00:00:00,targeted monitoring,0.00000000,70.00000000,0,82.00000000,12.50000000,0,755.00000000,6.59999990,"Molenbeek-Markebeek - Maarke-Kerkem, SA ter borchtmolen",98910.68040000,167776.29370000,421,,15,33,POINT (98910.68040000 167776.29370000)
VIS_422,2006-04-10T00:00:00,targeted monitoring,0.00000000,26.70000000,0,82.00000000,12.50000000,0,755.00000000,6.59999990,"Molenbeek-Markebeek - Maarke-Kerkem, SA ter borchtmolen",98910.68040000,167776.29370000,422,,15,34,POINT (98910.68040000 167776.29370000)
VIS_423,2006-04-10T00:00:00,targeted monitoring,0.00000000,175.90000000,0,82.00000000,12.50000000,0,755.00000000,6.59999990,"Molenbeek-Markebeek - Maarke-Kerkem, SA ter borchtmolen",98910.68040000,167776.29370000,423,,15,35,POINT (98910.68040000 167776.29370000)
VIS_424,2006-04-10T00:00:00,targeted monitoring,0.00000000,4989.60000000,0,82.00000000,12.50000000,0,755.00000000,6.59999990,"Molenbeek-Markebeek - Maarke-Kerkem, SA ter borchtmolen",98910.68040000,167776.29370000,424,,15,36,POINT (98910.68040000 167776.29370000)
VIS_425,2006-04-10T00:00:00,targeted monitoring,0.00000000,828.00000000,0,82.00000000,12.50000000,0,755.00000000,6.59999990,"Molenbeek-Markebeek - Maarke-Kerkem, SA ter borchtmolen",98910.68040000,167776.29370000,425,,15,37,POINT (98910.68040000 167776.29370000)
VIS_427,2006-04-10T00:00:00,targeted monitoring,0.00000000,3.90000000,0,100.00000000,11.90000000,0,668.00000000,8.10000038,Krombeek - Beekkant middenloop,102583.30130000,166818.59030000,427,,15,38,POINT (102583.30130000 166818.59030000)
